架构,优化级别,矩阵大小,算法,执行时间(秒)
arm64,O0,3500,算法1_展开,0.856575
arm64,O0,3500,算法2,0.904633
arm64,O0,3500,算法2_展开,0.462525
arm64,O0,3600,算法1,0.891782
arm64,O0,3600,算法1_展开,0.924942
arm64,O0,3600,算法2,0.967356
arm64,O0,3600,算法2_展开,0.519934
arm64,O0,3700,算法1,0.937997
arm64,O0,3700,算法1_展开,0.936370
arm64,O0,3700,算法2,1.022298
arm64,O0,3700,算法2_展开,0.525915
arm64,O0,3800,算法1,1.254974
arm64,O0,3800,算法1_展开,0.860901
arm64,O0,3800,算法2,0.737110
arm64,O0,3800,算法2_展开,0.512921
arm64,O0,3900,算法1,1.158342
arm64,O0,3900,算法1_展开,0.863624
arm64,O0,3900,算法2,0.734819
arm64,O0,3900,算法2_展开,0.542031
arm64,O0,4000,算法1,1.272706
arm64,O0,4000,算法1_展开,0.917421
arm64,O0,4000,算法2,0.764251
arm64,O0,4000,算法2_展开,0.581730
arm64,O1,100,算法1,0.000113
arm64,O1,100,算法1_展开,0.000086
arm64,O1,100,算法2,0.000094
arm64,O1,100,算法2_展开,0.000083
arm64,O1,200,算法1,0.000356
arm64,O1,200,算法1_展开,0.000329
arm64,O1,200,算法2,0.000344
arm64,O1,200,算法2_展开,0.000279
arm64,O1,300,算法1,0.000790
arm64,O1,300,算法1_展开,0.000705
arm64,O1,300,算法2,0.000760
arm64,O1,300,算法2_展开,0.000715
arm64,O1,400,算法1,0.001564
arm64,O1,400,算法1_展开,0.001371
arm64,O1,400,算法2,0.001431
arm64,O1,400,算法2_展开,0.001100
arm64,O1,500,算法1,0.002400
arm64,O1,500,算法1_展开,0.002670
arm64,O1,500,算法2,0.002143
arm64,O1,500,算法2_展开,0.001771
arm64,O1,600,算法1,0.005162
arm64,O1,600,算法1_展开,0.004753
arm64,O1,600,算法2,0.003196
arm64,O1,600,算法2_展开,0.002620
arm64,O1,700,算法1,0.009490
arm64,O1,700,算法1_展开,0.007252
arm64,O1,700,算法2,0.004365
arm64,O1,700,算法2_展开,0.003446
arm64,O1,800,算法1,0.012437
arm64,O1,800,算法1_展开,0.009591
arm64,O1,800,算法2,0.005553
arm64,O1,800,算法2_展开,0.004488
arm64,O1,900,算法1,0.016016
arm64,O1,900,算法1_展开,0.013006
arm64,O1,900,算法2,0.007218
arm64,O1,900,算法2_展开,0.006062
arm64,O1,1000,算法1,0.020416
arm64,O1,1000,算法1_展开,0.015510
arm64,O1,1000,算法2,0.008743
arm64,O1,1000,算法2_展开,0.007400
arm64,O1,1100,算法1,0.024264
arm64,O1,1100,算法1_展开,0.028294
arm64,O1,1100,算法2,0.010621
arm64,O1,1100,算法2_展开,0.009041
arm64,O1,1200,算法1,0.031747
arm64,O1,1200,算法1_展开,0.028788
arm64,O1,1200,算法2,0.013111
arm64,O1,1200,算法2_展开,0.010943
arm64,O1,1300,算法1,0.036692
arm64,O1,1300,算法1_展开,0.041085
arm64,O1,1300,算法2,0.287326
arm64,O1,1300,算法2_展开,0.012418
arm64,O1,1400,算法1,0.044427
arm64,O1,1400,算法1_展开,0.041954
arm64,O1,1400,算法2,0.017947
arm64,O1,1400,算法2_展开,0.014551
arm64,O1,1500,算法1,0.047380
arm64,O1,1500,算法1_展开,0.055610
arm64,O1,1500,算法2,0.020466
arm64,O1,1500,算法2_展开,0.016488
arm64,O1,1600,算法1,0.055888
arm64,O1,1600,算法1_展开,0.059085
arm64,O1,1600,算法2,0.023599
arm64,O1,1600,算法2_展开,0.018538
arm64,O1,1700,算法1,0.064709
arm64,O1,1700,算法1_展开,0.066444
arm64,O1,1700,算法2,0.025452
arm64,O1,1700,算法2_展开,0.020723
arm64,O1,1800,算法1,0.069493
arm64,O1,1800,算法1_展开,0.077976
arm64,O1,1800,算法2,0.028421
arm64,O1,1800,算法2_展开,0.023077
arm64,O1,1900,算法1,0.079344
arm64,O1,1900,算法1_展开,0.085268
arm64,O1,1900,算法2,0.031488
arm64,O1,1900,算法2_展开,0.025794
arm64,O1,2000,算法1,0.093775
arm64,O1,2000,算法1_展开,0.098243
arm64,O1,2000,算法2,0.035547
arm64,O1,2000,算法2_展开,0.027961
arm64,O1,2100,算法1,0.095181
arm64,O1,2100,算法1_展开,0.098344
arm64,O1,2100,算法2,0.037156
arm64,O1,2100,算法2_展开,0.031258
arm64,O1,2200,算法1,0.102128
arm64,O1,2200,算法1_展开,0.111172
arm64,O1,2200,算法2,0.041497
arm64,O1,2200,算法2_展开,0.034761
arm64,O1,2300,算法1,0.110756
arm64,O1,2300,算法1_展开,0.115155
arm64,O1,2300,算法2,0.044961
arm64,O1,2300,算法2_展开,0.037806
arm64,O1,2400,算法1,0.123191
arm64,O1,2400,算法1_展开,0.131855
arm64,O1,2400,算法2,0.049187
arm64,O1,2400,算法2_展开,0.041171
arm64,O1,2500,算法1,0.141096
arm64,O1,2500,算法1_展开,0.424428
arm64,O1,2500,算法2,0.057163
arm64,O1,2500,算法2_展开,0.047714
arm64,O1,2600,算法1,0.148658
arm64,O1,2600,算法1_展开,0.151528
arm64,O1,2600,算法2,0.059651
arm64,O1,2600,算法2_展开,0.049145
arm64,O1,2700,算法1,0.154098
arm64,O1,2700,算法1_展开,0.131767
arm64,O1,2700,算法2,0.061503
arm64,O1,2700,算法2_展开,0.052809
arm64,O1,2800,算法1,0.154174
arm64,O1,2800,算法1_展开,0.153224
arm64,O1,2800,算法2,0.066833
arm64,O1,2800,算法2_展开,0.054894
arm64,O1,2900,算法1,0.161664
arm64,O1,2900,算法1_展开,0.176688
arm64,O1,2900,算法2,0.070775
arm64,O1,2900,算法2_展开,0.059354
arm64,O1,3000,算法1,0.170158
arm64,O1,3000,算法1_展开,0.184833
arm64,O1,3000,算法2,0.078072
arm64,O1,3000,算法2_展开,0.065116
arm64,O1,3100,算法1,0.190290
arm64,O1,3100,算法1_展开,0.189619
arm64,O1,3100,算法2,0.082801
arm64,O1,3100,算法2_展开,0.072486
arm64,O1,3200,算法1,0.206445
arm64,O1,3200,算法1_展开,0.204956
arm64,O1,3200,算法2,0.092966
arm64,O1,3200,算法2_展开,0.074397
arm64,O1,3300,算法1,0.208194
arm64,O1,3300,算法1_展开,0.205284
arm64,O1,3300,算法2,0.094578
arm64,O1,3300,算法2_展开,0.079161
arm64,O1,3400,算法1,0.226182
arm64,O1,3400,算法1_展开,0.224055
arm64,O1,3400,算法2,0.100274
arm64,O1,3400,算法2_展开,0.083386
arm64,O1,3500,算法1,0.239414
arm64,O1,3500,算法1_展开,0.237539
arm64,O1,3500,算法2,0.105390
arm64,O1,3500,算法2_展开,0.087967
arm64,O1,3600,算法1,0.253842
arm64,O1,3600,算法1_展开,0.246868
arm64,O1,3600,算法2,0.326139
arm64,O1,3600,算法2_展开,0.093576
arm64,O1,3700,算法1,0.284020
arm64,O1,3700,算法1_展开,0.270709
arm64,O1,3700,算法2,0.118281
arm64,O1,3700,算法2_展开,0.099592
arm64,O1,3800,算法1,0.303585
arm64,O1,3800,算法1_展开,0.283228
arm64,O1,3800,算法2,0.125764
arm64,O1,3800,算法2_展开,0.104408
arm64,O1,3900,算法1,0.335753
arm64,O1,3900,算法1_展开,0.317506
arm64,O1,3900,算法2,0.131345
arm64,O1,3900,算法2_展开,0.110934
arm64,O1,4000,算法1,0.362551
arm64,O1,4000,算法1_展开,0.337603
arm64,O1,4000,算法2,0.138182
arm64,O1,4000,算法2_展开,0.116563
arm64,O2,100,算法1,0.000088
arm64,O2,100,算法1_展开,0.000065
arm64,O2,100,算法2,0.000071
arm64,O2,100,算法2_展开,0.000056
arm64,O2,200,算法1,0.000271
arm64,O2,200,算法1_展开,0.000223
arm64,O2,200,算法2,0.000253
arm64,O2,200,算法2_展开,0.000205
arm64,O2,300,算法1,0.000658
arm64,O2,300,算法1_展开,0.000493
arm64,O2,300,算法2,0.000606
arm64,O2,300,算法2_展开,0.000511
arm64,O2,400,算法1,0.001067
arm64,O2,400,算法1_展开,0.001293
arm64,O2,400,算法2,0.001043
arm64,O2,400,算法2_展开,0.000826
arm64,O2,500,算法1,0.001883
arm64,O2,500,算法1_展开,0.001708
arm64,O2,500,算法2,0.001611
