nsub,rerank_k,recall,latency_us
PQ Training using all 100000 base vectors...
PQ Training finished in 49988 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 474 ms.
4,10,0.13545,346.872
PQ Training using all 100000 base vectors...
PQ Training finished in 50020 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 473 ms.
4,50,0.38375,377.661
PQ Training using all 100000 base vectors...
PQ Training finished in 51374 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 475 ms.
4,100,0.54425,406.312
PQ Training using all 100000 base vectors...
PQ Training finished in 50202 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 474 ms.
4,200,0.71750,464.192
PQ Training using all 100000 base vectors...
PQ Training finished in 49925 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 478 ms.
4,400,0.84785,593.278
PQ Training using all 100000 base vectors...
PQ Training finished in 49929 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 472 ms.
4,600,0.90290,694.967
PQ Training using all 100000 base vectors...
PQ Training finished in 62855 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 593 ms.
8,10,0.30435,578.971
PQ Training using all 100000 base vectors...
PQ Training finished in 62812 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 594 ms.
8,50,0.66755,606.640
PQ Training using all 100000 base vectors...
PQ Training finished in 62812 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 594 ms.
8,100,0.80870,642.124
PQ Training using all 100000 base vectors...
PQ Training finished in 62946 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 595 ms.
8,200,0.91285,694.252
PQ Training using all 100000 base vectors...
PQ Training finished in 62883 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 592 ms.
8,400,0.96995,798.345
PQ Training using all 100000 base vectors...
PQ Training finished in 62866 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 595 ms.
8,600,0.98490,897.992
PQ Training using all 100000 base vectors...
PQ Training finished in 120956 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1183 ms.
16,10,0.52640,1046.912
PQ Training using all 100000 base vectors...
PQ Training finished in 120491 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1201 ms.
16,50,0.90805,1062.004
PQ Training using all 100000 base vectors...
PQ Training finished in 120245 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1204 ms.
16,100,0.97420,1107.242
PQ Training using all 100000 base vectors...
PQ Training finished in 120226 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1186 ms.
16,200,0.99420,1144.503
PQ Training using all 100000 base vectors...
PQ Training finished in 120323 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1182 ms.
16,400,0.99940,1256.866
PQ Training using all 100000 base vectors...
PQ Training finished in 120377 ms.
PQ Encoding nbase=100000 vectors...
PQ Encoding finished in 1188 ms.
16,600,0.99995,1362.557
