架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O0,3300,算法2,0.038164
x86_64,O0,3300,算法2_展开,0.030378
x86_64,O0,3400,算法1,0.143245
x86_64,O0,3400,算法1_展开,0.119352
x86_64,O0,3400,算法2,0.042774
x86_64,O0,3400,算法2_展开,0.032924
x86_64,O0,3500,算法1,0.404481
x86_64,O0,3500,算法1_展开,0.125981
x86_64,O0,3500,算法2,0.043187
x86_64,O0,3500,算法2_展开,0.034405
x86_64,O0,3600,算法1,0.160936
x86_64,O0,3600,算法1_展开,0.126648
x86_64,O0,3600,算法2,0.045793
x86_64,O0,3600,算法2_展开,0.035853
x86_64,O0,3700,算法1,0.172259
x86_64,O0,3700,算法1_展开,0.140977
x86_64,O0,3700,算法2,0.048481
x86_64,O0,3700,算法2_展开,0.038145
x86_64,O0,3800,算法1,0.185485
x86_64,O0,3800,算法1_展开,0.151915
x86_64,O0,3800,算法2,0.050912
x86_64,O0,3800,算法2_展开,0.040144
x86_64,O0,3900,算法1,0.198759
x86_64,O0,3900,算法1_展开,0.160594
x86_64,O0,3900,算法2,0.052100
x86_64,O0,3900,算法2_展开,0.040903
x86_64,O0,4000,算法1,0.205625
x86_64,O0,4000,算法1_展开,0.168924
x86_64,O0,4000,算法2,0.054776
x86_64,O0,4000,算法2_展开,0.044805
x86_64,O1,100,算法1,0.000015
x86_64,O1,100,算法1_展开,0.000013
x86_64,O1,100,算法2,0.000006
x86_64,O1,100,算法2_展开,0.000004
x86_64,O1,200,算法1,0.000068
x86_64,O1,200,算法1_展开,0.000061
x86_64,O1,200,算法2,0.000026
x86_64,O1,200,算法2_展开,0.000018
x86_64,O1,300,算法1,0.000140
x86_64,O1,300,算法1_展开,0.000143
x86_64,O1,300,算法2,0.000054
x86_64,O1,300,算法2_展开,0.000043
x86_64,O1,400,算法1,0.000271
x86_64,O1,400,算法1_展开,0.000258
x86_64,O1,400,算法2,0.000103
x86_64,O1,400,算法2_展开,0.000069
x86_64,O1,500,算法1,0.000403
x86_64,O1,500,算法1_展开,0.000439
x86_64,O1,500,算法2,0.000196
x86_64,O1,500,算法2_展开,0.000104
x86_64,O1,600,算法1,0.000940
x86_64,O1,600,算法1_展开,0.000639
x86_64,O1,600,算法2,0.000224
x86_64,O1,600,算法2_展开,0.000174
x86_64,O1,700,算法1,0.001163
x86_64,O1,700,算法1_展开,0.001120
x86_64,O1,700,算法2,0.000317
x86_64,O1,700,算法2_展开,0.000277
x86_64,O1,800,算法1,0.001850
x86_64,O1,800,算法1_展开,0.001588
x86_64,O1,800,算法2,0.000437
x86_64,O1,800,算法2_展开,0.000301
x86_64,O1,900,算法1,0.002626
x86_64,O1,900,算法1_展开,0.002366
x86_64,O1,900,算法2,0.000526
x86_64,O1,900,算法2_展开,0.000495
x86_64,O1,1000,算法1,0.003957
x86_64,O1,1000,算法1_展开,0.002819
x86_64,O1,1000,算法2,0.001005
x86_64,O1,1000,算法2_展开,0.000790
x86_64,O1,1100,算法1,0.004875
x86_64,O1,1100,算法1_展开,0.003924
x86_64,O1,1100,算法2,0.001048
x86_64,O1,1100,算法2_展开,0.000677
